,Date,Dead,Injured,Location,Description,Perpetrators,Part of
78,April 28,3,59,"Kashmir, India","In Bungam, ten people were injured, including two police officers and eight civilians, when an unidentified person threw a hand grenade at a local representative's convoy. This attack comes only a week before parliamentary elections are set to begin in Kashmir. Suspected Muslim militants threw a hand grenade at a crowd during a candidate's political address, killing three civilians and wounding forty-nine others. The candidate from the National Conference Party was unhurt. This attack comes only a week before nationwide parliamentary elections are due to take place.[1]",Islamic extremists,Insurgency in Jammu and Kashmir
79,April 30,0 (+1),4,Gaza Strip.,"A Hamas suicide car bomber struck an Israelis army patrol, injuring all 4 Israelis soldiers. The attack was filmed by Hamas, the bombers original target was a bus full of Jewish settlers, but the bus slipped away as it was suspicious of the vehicle, the bomber missed it, so instinctively went for the next available target.[1]",Hamas,Second Intifada
80,May 1,1,3,"Savannahkey Province, Laos","One person was killed and three others injured when an explosive device detonated near a bus stop in the Khantaboury district of Savannakhey Province. The attack wasn't reported for nearly two weeks in order to avoid undermining ""national security"".[1]",Free Democratic People's Government of Laos,
81,May 2,7 (+4),18,"Yanbu, Saudi Arabia","2004 Yanbu attack: Four assailants fired against the personnel of a Saudi contractor in Yanbu. Two Americans, two Britons, an Italian and an Australian were killed and nineteen Saudi police officers were injured. The security forces returned fire killing three with the last attacker dying of his wounds later.[1]",Al Qaeda (suspected),
82,May 2,0,17,"Bogotá, Colombia",Two bombs exploded near the Social Protection Ministry in Bogotá late Sunday evening. Eleven civilians and six police were injured in the attack although only two were seriously hurt. Some reports indicate that an initial small explosion was followed by a large explosion and that the second explosion was aimed at those who responded to the first blast. The second blast caused all of the injuries and some material damage to the Ministry as well as other buildings nearby. Army officials believe that the Revolutionary Armed Forces of Colombia (FARC) are responsible and that the attack was meant to mark the 40th anniversary of the organization.[1],FARC,Colombian Conflict
83,May 2,3,5,"Baghdad, Iraq",Two former Fiji soldiers who work for Global Risk Strategies LTD as security contractors in Iraq were killed and two other injured when gunmen attacked their convoy in Mosul. The injured Fijians were identified as Isaia Nainoca Mate and Sailopa Kaumaitotya and the killed Fijians were identified an Emori Vunibokoi and Kelepi Qaranivalu. An American soldier was also killed and three other foreigners of unidentified nationalist injured in the attack. Foreigners who work as private contractors in Iraq are the frequent target of insurgent attacks.[1],Islamist insurgents,Iraq War
84,May 3,3,11,"Gwadar, Pakistan","Three Chinese engineers were killed when a car bomb exploded in the town of Gwadar, 700 kilometers west of Quetta, capital of Baluchistan. The bombing comes just days before a regional investment conference was to be opened by Prime Minister Zafarullah Jamali. The Chinese were helping to build a major seaport in southwest Pakistan, and were financing $199 million for the project. Police say that nationalists protesting discrimination against locals in employment were likely behind the blast.[1]",Pakistani nationalists (suspected),
85,May 7,24,125,"Karachi, Pakistan","Twenty-four people were killed when a suicide bomber blew himself up in a mosque on the premises of Sindh Madressatul Islam. The blast also severely damaged the old mosque (built in 1894), just before the Zohrain prayers. There were over 100 worshippers in the mosque at the time of the blast. Over 100 were wounded.[1]",Lashkar-e-Jhangvi (suspected),Sectarianism in Pakistan
86,May 8,3,3,"Baquba, Iraq","Attackers set off a bomb outside the house of a police official killing three members of his family and wounding three others in Habhab, 12 miles north of Baquba.[1]",Islamist insurgents,Iraq War
87,May 9,1,21,"Kashmir, India","One person was killed and twenty-one injured, when terrorists lobbed a grenade outside of the premises of the district hospital in Doda. The grenade was most likely aimed at a government convoy passing the hospital at the time. The victim killed was a government official and four of the injured included police officers. Police suspect the Hizbul Mujahideen is behind the attack because the group is most active in the area.[1]",Hizbul Mujahideen (suspected),Insurgency in Jammu and Kashmir
88,May 9,10,56,"Grozny, Russia","2004 Grozny stadium bombing: A bomb exploded in the Dynamo stadium in the Chechen capital, Groznyy, killing the republic's president Akhmad Kadyrov. Kadyrov was elected last fall in what was considered by many to be a fraudulent vote. The explosion was caused by a bomb planted inside a concrete pillar and occurred at 10:35am during a parade and concert in Groznyy celebrating the 59th anniversary of the victory of Germany in World War 2. The blast tore a hole in the section designate for dignitaries. It was not clear if the explosion was specifically targeting Kadyrov or whether it would have occurred regardless of his presence, as he was not officially scheduled to be at this event. Khussein Isayev, chairman of the Republic's state council, and Adlan Khasanov, a reported for Reuters, were also killed in the blast. Col. Gen. Valery Baranov, the commander of the Russian military in the northern Caucasus was gravely wounded. Although estimates of total casualties varied, at least ten people were killed and around fifty more injured. These numbers include many civilians and WW2 veterans who were also attending the celebrations. Officials believe that the blast was detonated by remote control and was intentionally installed below the VIP section. The bomb may have been planted some time ago during the recent renovations to the stadium. Preliminary reports suggest that the bomb was equivalent to one ton of TNT. The location of the bomb made it impossible for existing equipment to detect. The type of explosive appeared identical to the type used to blow up the military parade two years ago in the Dagestani city of Kaspiysk. Rescue workers prevented two other blasts in the stadium. They were able to defuse another landmine and an additional explosive device equipped with a timer set to go off 30 minutes after the first explosion. On May 12, another explosive device was found in the half-ruined Dynamo Stadium. The device consisted of TNT charges and pieces of metal. It was unclear if the device had been planted recently or a long time ago. Rebel leader Shamil Basayev claimed that he was involved in and had organized the blast. The attack may have been intended to sow panic and disorder among the Chechen leadership. Initial investigations were focusing on the security staff at the stadium and the builders who took part in the renovations of the stadium. Investigators believe that insufficient training and organization of the security staff was faulted for allowing the attack to occur. Officials had detained at least five individuals for potential involvement in the attack, including Ibragim Musayev, who was also involved in the hostage-taking raid of the Dubrovka Theatre and the bomb attack near a McDonald's in Moscow. Investigators had also given a more specific list of suspects who were under investigation to the Russian Duma. The Russian appointed Prime Minister, Sergei Abramov will serve as President until new elections are held sometime before September, as stipulated by the republic's constitution. The attack serves a blow to Putin and his strategy for ending the conflict in Chechnya. On August 5, Interfax reported that three suspects had been arrested in connection with the attack, two of whom had already confessed to the crime. The third man was arrested later than the other two and was providing investigators with useful information.[1]",Riyadus-Salihiin,Second Chechen War
89,May 9,0,10,"Baghdad, Iraq",Two attacks in Baghdad injured 10 people.[1],Islamist insurgents,Iraq War
90,May 12,1,14,"Jolo Island, Philippines","A teenaged girl was killed and at least fourteen others were injured when a large explosive device detonated in Sulu Province, on Jolo island. Authorities believe the target of the blast was Hussin Amin, an incumbent Sulu first district congressman. The bomb detonated in front of Amin's house, which is also being used for the congressman's headquarters, only moments before an armored personnel carrier passed by. Authorities are blaming the attack on the Abu Sayyaf Group (ASG), though there has been no claim of responsibility.[1]",Abu Sayyaf (suspected),Moro Conflict
91,May 14,1,15,"Sajha, Nepal","A bomb explosion on a passenger bus killed one and injured more than a dozen others. The bus was parked at Sajha station in front of Royal Nepal Airlines office. Authorities are blaming ""anti-government insurgents"" of carrying out the attack.[1]",Communist Party of Nepal,Nepalese Civil War
92,May 17,7,7,"Baghdad, Iraq","A suicide car bombing near an entrance to the coalition headquarters in Baghdad killed the head of the Iraqi Governing Council, Ezzadin Salim, and six other civilians. Salim was killed while waiting in a convoy at a checkpoint leading to the Green Zone. Salim is the second member of the US-appointed council to be assassinated. The bomb wounded five other civilians and two US soldiers. Sami Muhammad Ali Said Jaaf, a lieutenant of Abu Musab Zarqawi, was taken into custody in mid-January 2005. Jaaf admitted to being involved in over thirty-two bombings in Iraq, including this one.[1]",Islamist insurgents,Iraq War
93,May 20,0,4,"Kabul, Afghanistan",A newly-laid roadside bomb exploded injuring a policeman and three civilians employed by the Central Statistics Office. Remnants of the Taliban have threatened to disrupt preparations for September parliamentary elections.[1],Taliban,War in Afghanistan
94,May 21,3,24,"Kashmir, India","A bicycle bomb that was detonated at the Chadoura bridge killed three people and injured twenty-four. The bomb had been planted by suspected militants on a bicycle parked 20 feet from a border security pillbox. No group claimed responsibility for the attack, but authorities are blaming Hizbul-Mujahedin.[1]",Hizbul Mujahideen,Insurgency in Jammu and Kashmir
95,May 21,3,100,"Sylhet, Bangladesh","2004 Shah Jalal bombing: A powerful bomb at the shrine of 14th-century saint Hazrat Shahjalal killed three and injured over 100. Authorities believe that the attack was aimed at the newly appointed British High Commissioner to Bangladesh, who was also critically injured in the blast.[1]",Harkat-ul-Jihad al-Islami,Internal conflict in Bangladesh
96,May 22,6,82,"Bogotá, Colombia",A bomb exploded in a crowded tavern/discothèque at 11:00 pm Saturday night killing six (some reports indicate seven) and wounding eighty-two. The bomb was packed in a small suitcase and left in the bathroom by suspected Revolutionary Armed Forces of Colombia (FARC) rebels. It is believed the bombing is part of a FARC campaign marking the organizations 40th anniversary.[1],FARC,Colombian Conflict
97,May 22,5,13,"Baghdad, Iraq","Another senior Iraqi official was the target of a suicide car bomb which killed at least five people and wounded Abdul-Jabar Youssef al-Sheikhli, deputy interior minister at his home in Baghdad. Sheikhli was a member of the Shiite Dawa Party. Four Iraqi policemen and a bystander were killed and twelve other people aside from al-Sheikhli were wounded. This attack comes five days after Ezzedine Salim, the president of the Iraqi Governing Council, was killed by a suicide bomber. He was also a member of the Dawa Party. Abu Musab al-Zarqawi's group, Tawhid and Jihad later claimed responsibility for this attack.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
98,May 23,2,1,"Baghdad, Iraq",A car bomb exploded near the armored car of several British private security contractors just outside the entrance to the Green Zone and US coalition headquarters in Baghdad. The attack led to the death of two of the British contractors and the injury of one other. Private security contractors in Iraq who work with coalition forces are the frequent target of insurgent attack.[1],Islamic insurgents,Iraq War
99,May 25,2,2,"Karachi, Pakistan","A bomb exploded at a Karachi port, killing two and injuring two others. The blast occurred less the 24 hours before an explosion rocked the area near the US Consul General's residence.[1]",Harkat-ul-Mujahideen (suspected),
100,May 26,2,27,"Karachi, Pakistan",Two bombs exploded near the U.S. Consul General's residence in Karachi. Suspects riding on a motorcycle are believed to have driven by and stuck an item on to one of two cars which later exploded. The bombs went off in 15-minute intervals. The group Harkat ul Mujahedin is believed to have been involved. Two security men who were supposed to be manning their posts on the usually well-guarded street were absent during the attacks. They were arrested for failing to uphold their duties and are being questioned by the police.[1],Harkat-ul-Mujahideen (suspected),
101,May 26,3,4,"Baghdad, Iraq","Gunmen in Baghdad opened-fire on a bus carrying Russian employees of the energy firm Interenergoservice, killing two Russian electrical specialists and injuring five others. Following the attack the firm decided to pull all of its employees out of Iraq. The killed employees were identified as Vyacheslav Ovsyannikov, and Victor Dynkin, while those injured includes Chubashev, Korenkob, Chernetsky, Derbilov, and Trifonov (last names). One of the employees later died of his wounds. Contractors who work in Iraq on reconstruction projects are the frequent target of insurgent attack.[1]",Islamic insurgents,Iraq War
102,May 27,1,2,"Annapur, Nepal","Maoists, believed members of the Communist Party of Nepal-Maoists (CPN-M) killed a newspaper delivery driver who defied the latest guerrilla anti-government strike. A homemade bomb was thrown at the driver who was delivering the Annapur Post. Two other passengers were injured. The CPN-M had demanded that all traffic stay off the roads in the western Himalayan kingdom as a series of strikes leading up to a three-day nationwide shutdown were taking place.[1]",Communist Party of Nepal,Nepalese Civil War
103,May 29/30,22,25,"Riyadh, Saudi Arabia","2004 Khobar massacre: A shooting rampage and hostage standoff in Saudi's oil industry hub killed twenty-two people, mostly foreigners. This was the worst terror attack on Saudi soil in a year and the second targeting the oil industry in a month. In the early morning, four militants wearing military-style clothing stormed the oil industry office compounds spraying gunfire and killing thirteen people. The militants then moved up the street to Oasis Residential Resort. According to the Saudi Interior Ministry, the militants first tried to ram the gate with an explosives-rigged car but when that failed they scaled the wall. They then proceeded to sort out Muslims from non-Muslims and corralled at least fifty hostages in a hotel. Nine hostages were killed and forty-one rescued by Saudi commandos. Only one of the attackers was captured. Al-Qaeda has claimed responsibility for the attack.[1]",Al Qaeda in the Arabian Peninsula,
104,May 30,2,5,"Baghdad, Iraq","Gunmen opened fire on a convoy of SUVs carrying British security contractors traveling towards Baghdad airport, killing two Iraqis and wounding five others, including several civilians. The man killed was an Iraqi driver, either a contractor or an employee of the Coalition Provision Authority who worked in support of US troops. None of the British members of the convoy were injured in the attack. Several of the convoy members who survived the attack hijacked a passing car to escape. Contractors and those who work with US forces are the frequent target of insurgent attack in Iraq.[1]",Islamic insurgents,Iraq War
105,May 31,21,50,"Karachi, Pakistan","A bomb blast exploded at the Ali Raza Shia mosque killing twenty-one people, and injuring about fifty others. There were about fifty people inside the mosque when the bomb went off. AP reported that the group responsible for this attack was the Lashkar-e-Jhangui.[1]",Lashkar-e-Jhangvi,Sectarianism in Pakistan
106,June 1,11,18,"Baghdad, Iraq","A suicide car bomb attack at a checkpoint near a US army base in Baiji, 200 km north of Baghdad, killed eleven Iraqis. Eighteen others were seriously wounded in the attack, including fourteen members of the Iraqi civil defense force.[1][1]",Islamist insurgents,Iraq War
107,June 1,25,7,"Baghdad, Iraq",At least twenty-five people were killed and several others injured as a result of a car bomb in front of the offices of the Patriotic Union of Kurdistan (PUK) in the al-Ilwiyah district of Baghdad. This attack came as the PUK offices were busy preparing for the 29th anniversary of the founding of their party.[1],Islamists,Iraq War
108,June 1,1,2,"Eastern Afghanistan, Afghanistan",A high-ranking Afghan police official was killed when a bomb placed under his chair exploded in his office in eastern Afghanistan. Remnants of the Taliban still populate neighboring provinces.[1],Taliban,War in Afghanistan
109,June 2,5,0,"Eastern Afghanistan, Afghanistan","Five NGO workers were killed when their car was ambushed in the Khair Khana District. Of the workers, one was from Belgium, one from the Netherlands, one from Norway, and two were Afghans. The workers represented at least two NGO's: Doctors Without Borders and Norwegian Church Aid. The Taliban is said to have called, and claimed responsibility.[1]",Taliban,War in Afghanistan
110,June 3,0,7,"Kabul, Afghanistan","A parcel bomb exploded in a security command office injuring seven people. The bomb detonated when one of the staff was attempting to open a package, which was addressed to Mohammed Omar, security commander. He was not in the office at the time, and instructed his staff to open the package for him.[1]",Taliban,War in Afghanistan
111,June 3,1,3,"Baghdad, Iraq","Several mortar shells were fired at the Italian Embassy in Baghdad. No Italians were injured in the attack, however, one Iraqi was killed and three were wounded.[1]",Islamists,Iraq War
112,June 4,11,71,"Samara, Russia","An explosion occurred in the central market of Samara. A one kilogram plastic explosive device, detonated by a hand lit fuse, went off near a railway track and behind the traders' containers. Officials speculate that the track may have been the (or an additional) intended target. At least eleven people were killed and seventy-one injured in the incident. On June 10, five Chechens were detained for their suspected involvement in the attack. Police seized huge amounts of ammunition, firearms, and explosives from the suspects during their arrest. Chechen residents of Samara complained that many of the detentions were without cause and sent a letter to President Putin demanding that illegal activity be stopped. Although terrorism remained the most prominent theory, there was speculation that the blast may have been the result of fighting among businesses located in the market. On June 10, 2004, Chechen separatists from Kazakhstan were arrested in connection with this incident.[1]",Chechen Separatists,Second Chechen War
113,June 4,0 (+1),0,"Granby, Colorado, United States","An armored bulldozer destroyed several buildings in the town of Granby, Colorado. The operator of the bulldozer was Marvin Heemeyer, who had a log standing feud with several people in Granby. Heemeyer committed suicide once his bulldozer got stuck in the basement of a store he was destroying.",Marvin Heemeyer,
114,June 5,7,5,"Mussayab, Iraq","Eight people stormed into a police station in Mussayab, opened fire and killed seven officers before planting explosives to destroy the building. Several polciemen were injured in the attack as well. The assailants wore police uniforms.[1]",Islamists,Iraq War
115,June 5,4,2,"Baghdad, Iraq","Four employees (two Americans and two Poles) of the US company Blackwater were killed and two others injured in a road attack in Baghdad. Abu Musab al-Zarqawi's group, Tawhid and Jihad, has claimed responsibility for the attack.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
116,June 6,1,3,"Baghdad, Iraq","Gunmen opened-fire on a civilian convoy carrying British security contractors who work for the London-based firm Armor Group. The attack occurred in Mosul. One British security contractor, Craig Dickens, was killed in the attack, and three other injured. Security contractors in Iraq are the frequent target of insurgent attacks.[1]",Islamists,Iraq War
117,June 7,2,2,"Niazyo, Afghanistan",Two students were killed when grenades were thrown at their school. The Niazyo school is a religious institution.[1],Taliban,War in Afghanistan
118,June 8,0,23,"Assam, India",Twenty-three were injured when suspected United Liberation Front of Assam (ULFA) militants threw a grenade into a crowded cinema hall during a town screening of a Hindi movie. The police say that the attacks may be connected to a ULFA call for the banning of Hindi movies last year. The group opposes the state film industry and is believed to have been responsible for explosions at other cinemas in Assam.[1],United Liberation Front of Assam,Assam conflict
119,June 8,9,25,"Mosul, Iraq",A taxi carrying three suicide bombers exploded near the mayor of Mosul's office. Nine Iraqis were killed and twenty-five were wounded. This bombing repeats a pattern established over the last year whereby suicide attacks are most frequent when the general insurgency is not active in Iraq.[1],Islamic insurgents,Iraq War
120,June 8,0,6,"Bologna, Italy","An explosive device, made of a bottle full of inflammable liquid, a detonator and a timer, detonated at a political rally in Bologna, which featured National Alliance party leader Gianfranco Fini. The device exploded in the middle of Fini's speech, injuring six people, but causing no major damage. The bomb had been hidden inside an election vehicle on the side of the stage and only the detonator managed to explode. Authorities believe that anarchists might be behind the attack.[1]",Anarchists (suspected),
121,June 8,0,1,"Pattani Province, Thailand","Thawee Nooyom, a teacher at a technical college in Pattani Province, was stabbed and critically injured by suspected Muslim separatists. This is the fourth attack on Buddhist civilians in the past two days and authorities are concerned that sectarian violence is on the rise. Nooyom was mobbed by three unknown perpetrators as he left his apartment on the school's campus. He was stabbed several times and taken to the hospital.[1]",Pattani separatists,South Thailand Insurgency
122,June 9,0,22,"Cologne, Germany",2004 Cologne bombing: A pipe bomb was detonated in an area of Cologne popular with Turks. The bombing was unsolved until a group called National Socialist Underground claimed responsibility on a DVD found in 2011.,National Socialist Underground,
123,June 10,13,5,"Konduz, Afghanistan","Eleven Chinese construction workers were slain in Konduz when unidentified gunmen broke into their quarters and shot them as they slept. Two Afghan police guarding the site were also killed. Four Chinese nationals survived and were treated for gunshot wounds. Though Taliban members immediately denied involvement in the attack, Afghan authorities believed that the Taliban and Hizbul-i-Islami were involved in the attack. Two of ten men that were arrested were affiliated with the groups. In October 2004, four men were convicted of perpetrating this attack, but still no group claimed official responsibility.[1]",Taliban (suspected),War in Afghanistan
124,June 10,0,1,"Derry, United Kingdom","About fifty petrol bombs were thrown at police officers in Derry as they escorted electoral officers and ballot boxes from various polling stations. The perpetrators were described as a group of youths, some even children. One man was hit with a device and taken away in an ambulance.[1]",Irish Republicans,Dissident Irish Republican campaign
125,June 12,3,7,"Najaf, Iraq",Three people were killed and seven others were wounded when insurgents clashed with Iraqi police in a failed attempt to control the Ghiri police station in Najaf.[1],Islamists,Iraq War
126,June 12,4,24,"Kashmir, India","A Pahalgam hotel was the target of a grenade attack, which killed four people, including two tourists. The grenade triggered the explosion of a gas canister in the hotel's restaurant, which made the explosion more deadly. Al-Nasireen has claimed responsibility for the attack. In their claim of responsibility the group states that they hope to discourage ""obscenity and nudity being imported into the land of Islam's martyrs."".[1]",Al-Nasireen,Insurgency in Jammu and Kashmir
127,June 13,12,13,"Baghdad, Iraq","A suicide car bomber killed up to twelve Iraqis, including four policemen, in Baghdad. Police at the scene say they had tried to stop the suspicious vehicle as it hurtled towards an Iraqi military college. thirteen people were wounded as well.[1]",Islamic insurgents,Iraq War
128,June 13,1,8,"Kirkuk, Iraq","One Iraqi civilian was killed and eight Iraqis were wounded, including seven policemen, when unknown assailants attacked two police patrols in Kirkuk.[1]",Unknown,Iraq War
129,June 14,13,60,"Baghdad, Iraq","A car bomb tore through a convoy carrying contractors in Baghdad killing eight Iraqis and three GE employees and two bodyguards- the foreignors included two Britons, one Frenchmen, one American and a Filipino. The blast destroyed eight vehicles and nearby buildings into rubble. Abu Musab al-Zarqawi's group, Tawhid and Jihad claimed responsibility for the attack.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
130,June 15,34,0,"La Gabarra, Colombia",Presumed Revolutionary Armed Forces of Colombia (FARC) guerrillas killed thirty-four farm workers in La Gabarra. Reports indicate that the workers were coca growers which led to different ideas about the motivation on the massacre. Some believe that it was caused by an ongoing battle between different armed groups over the control of coca productions and thus economic interests. Others speculate that the attack was a destabilizing act aimed at provoking an AUC reaction and thus sabotaging the peace process.[1],FARC,Colombian conflict
131,June 16,1,1,"Kirkuk, Iraq","Northern Oil Company security chief Ghazi Talabani was killed in an ambush as he traveled to work. Three gunmen shot at Talabani's car after his bodyguard left the vehicle in a crowded market. The bodyguard was also wounded. Talabani was the cousin of Jalal Talabani, the leader of the Patriotic Union of Kurdistan. He is the third official to be killed in Iraq in recent days.[1]",Islamists,Iraq War
132,June 16,9,10,"Ramadi, Iraq","A car bomb exploded near an Iraqi police car and a civilian vehicle carrying several foreigners in Ramadi. Five Iraqi police officers and four foreigners (no nationality given) were killed and ten people, including foreigners, injured in the attack. Foreigners in Iraq are the target of frequent insurgent attack, as they are often suspected of being involved in the US occupation. Police and security officers are also the frequent target of attack.[1]",Islamist insurgents,Iraq War
133,June 17,2,5,"Baghdad, Iraq",Two Iraqis were killed by a car bomb attack on an electric utility station south of Baghdad. The power plant came under mortar fire before a vehicle exploded at the entrance. Five employees were injured. It marked the fourth attack on the utility in the past three weeks.[1],Islamists,Iraq War
134,June 18,35,138,"Baghdad, Iraq",June 2004 Baghdad bombing: A sport utility vehicle packed with artillery shells blew up in a crowd of people waiting to volunteer for the Iraqi military in Baghdad killing at least thirty-five people and wounding 138. The attack was the deadliest since the same recruitment center was bombed in February. Iraq's interior ministerstated that he believes al-Qaeda linked Abu Musab al-Zarqawi was responsible.[1],Jama'at al-Tawhid wal-Jihad,Iraq War
135,June 19,0,14,"Assam, India","A time bomb planted by the United Liberation Front of Assam (ULFA) exploded, injuring fourteen people, most of whom were day wage-earners. No further information is provided.[1]",United Liberation Front of Assam,Assam conflict
136,June 21,0,70,Bangladesh,At least seventy people were injured when a bomb exploded at an Awami League rally in northeastern Bangladesh. The bomb was placed underneath the platform where lawmaker Suranjit Sengupta spoke.[1],HuJI (suspected),Internal conflict in Bangladesh
137,June 21/22,92,106,"Nazran, Russia","2004 Nazran raid: A group of Ingush and Chechen militants raided Ingushetia's largest city, Nazran, and attacked several government buildings. In total 92 people, almost all of them civilians and members of the security forces were killed.",Ingush Jamaat,Second Chechen War
138,June 23,0,19,"Bijbehara, India",Nineteen people were injured when a grenade was hurled at a security picket at Bijbehara. The grenade missed its target and caused the large number of injuries.[1],Unknown,Insurgency in Jammu and Kashmir
139,June 24,0,7,"North-West Frontier Province, Pakistan",Unidentified assailants attacked a Pakistani police station in northwest Pakistan using rockets and grenades. Seven people were injured in the attack. Authorities believe that the attacks could be in retaliation for Pakistani operations in Waziristan geared towards stemming Al-Qaeda activity.[1],Unknown,
140,June 24,62,220,"Mosul, Iraq",2004 Mosul bombings: Five car bombs targeted four police stations and a hospital.,Islamists,Iraq War
141,June 24,3 (+1),15,"Istanbul, Turkey","An explosive device detonated aboard a passenger bus in Istanbul, killing four people, including the bomber and injuring at least fifteen others. The blast occurred when the bus had traveled into a residential neighborhood, near a university. Police identified the bomber as Semiran Polat, a woman from the mainly Kurdish province of Tunceli. Police believe that this device was not intended to have detonated on the bus but that Polat was transporting it to another unknown target. This attack comes a few days before US President Bush is scheduled to visit the city to attend a NATO summit. It also comes only a few hours after another device detonated at a hotel in Ankara, injuring two people. The Revolutionary People's Liberation Party-Front (DHKP-C) claimed responsibility for the mistaken attack, stating that ""on June 24, uninvolved people have lost their lives together with our comrade Semiran Polat, when a bomb exploded by mistake in a bus in the Istanbul quarter Capa. The bomb that was carried with our comrade should have been used for a retaliation action in the purchase of the massacre against her comrades in prison."".[1]",DHKP/C,DHKP/C insurgency in Turkey
142,June 24,5,15,"Assam, India",Five passengers on a minibus were killed when United Liberation Front of Assam (ULFA) militants triggered a time bomb. Fifteen others were injured in the blast.[1],United Liberation Front of Assam,Assam conflict
143,June 24,4,0,"Pakita Province, Afghanistan","Four United Nations Assistance Mission in Afghanistan (UNAMA) staff were killed in Paktia Province, after a remote-detonated bomb exploded as their vehicle was traveling along a road. The workers were involved in voter registration. A group opposed to the US and Afghan government called, Jaish-ul-Muslimin claimed responsibility for the attack in a fax sent to a Peshawar news agency. It is one of many occurring as the elections approach.[1]",Jaish-ul-Muslimin,War in Afghanistan
144,June 26,12,12,"Poonch District, India",2004 Teli Katha massacre: Militants shot and killed a dozen people when they opened fire at residential houses. Most of the victims were family members of the local village defense committee. Rebels have targeted security forces and their families in the past. Twelve people were also injured in the attack.[1],Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
145,June 26,3,2,"Baquba, Iraq","Attackers fired rocket-propelled grenades at the offices of the leading Shiite political group, the Supreme Council of the Islamic Revolution in Iraq, in Baqubah killing three party members and injuring two.[1]",Sunni insurgents,Iraq War
146,June 26,2,11,"Kabul, Afghanistan",A bomb exploded inside of a bus carrying UN Afghan female election workers to voter registration sites. It is the first violence associated with the upcoming parliamentary elections since their announcement. The Taliban have threatened to disrupt activities supporting the September elections.[1],Taliban,War in Afghanistan
147,June 27,40,22,"Hilah, Iraq","Explosions rocked the center of the predominantly Shiite Muslim city of Hilah, killing forty people and injuring twenty-two. The blasts occurred near the former Saddam Hussein mosque, and may have been caused by a pair of car bombs.[1]",Sunni insurgents,Iraq War
148,June 27,1,3,"Groznyy, Russia",Three local residents were injured and one killed when a mine exploded near a roadside café in Groznyy. Police were investigating the incident.[1],ChRI,Second Chechen War
149,June 28,2,15,"Sederot, Israel",Two Israelis were killed and about fifteen others were injured when two home-made Qassam rockets landed on Sederot. Hamas has claimed responsibility for the attack.[1],Hamas,Second Intifada
150,June 29,2,10,"Sederot, Israel",A Palestinian rocket attack near a kindergarten in Sederot killed a child and a man. More than ten people were injured. Hamas has claimed responsibility for the attack.[1],Hamas,Second Intifada
151,June 30,1,27,"Kandahar, Afghanistan","A bomb planted at a security post near a bus station and one placed at a security post on a main road, killed one man and injured twenty-seven others. The two bombs went off shortly after 1:00 pm, both were hidden in fruit carts. Authorities blame anti-government militias of carrying out the attack.[1]",Taliban,War in Afghanistan
152,July 2,5,24,"Van, Turkey","A remote-detonated explosive device exploded in Blue Plaza on Ordu Boulevard in Van as Hikmet Tan, the governor of Van was passing through with his convoy. Five people were killed and twenty-four other injured by the blast. Hikmet was uninjured by the bomb. A Kurdish organization calling itself the Kurdistan Freedom Hawks (TAK) claimed responsibility for this assassination attempt. In their claim of responsibility, the group writes, ""we will speak in a language that the Turkish state will understand and we will develop our revolutionary resistance struggle in a more radical manner in the face of the unjust and ugly policy that is currently being pursued by the Turkish state."".[1]",Kurdistan Freedom Falcons,Kurdish-Turkish conflict
153,July 2,6,5,"Kashmir, India",Six police personnel were killed and five injured when militants detonated an improvised explosive device as a convoy was passing by. The convoy was escorting a member of Parliament.[1],Islamic extremists,Kashmir conflict
154,July 2,1,1,"Pokhara, Nepal","Members of the Communists Party of Nepal-Maoists (CPN-M) shot the mayor of Pokhara, a major tourist town. Mayor Harkha Gurung was driving through a crowded market place on his way to work, when a pedestrian stopped to shake his hand. When the mayor stopped to talk to the person, they shot him in the face at close range. Two other Maoists rush forward and also opened fire, on the mayor who received five bullet wounds to the head and chest. The mayor's driver was injured in the attack.[1]",Communist Party of Nepal,Nepalese Civil War
155,July 4,2,39,"Kashmir, India",Two people were killed and thirty-nine injured when a bomb went off near a tourist reception center. The device was placed in a hand cart. No further information is available.[1],Unknown,Kashmir conflict
156,July 6,14,37,"Khalis, Iraq","Fourteen people were killed and at least thirty-seven others injured by a deadly suicide car bombing in Khalis. The attack took place as hundreds of local officials were mourning the death of two relatives of an official that was killed in an attack by insurgents the day before. The car drove up to within yards of the tent where the wake was taking place, and detonated. The Ansar al-Sunnah militant group claimed responsibility for the attack, warning that other ""infidels"" would ""experience the same fate if they don't repent."".[1]",Ansar al-Sunnah,Iraq War
157,July 8,1,6,Afghanistan,The Taliban claimed responsibility for an attack on Afghan election workers who are preparing for the upcoming election. One woman working for the UN was killed when her vehicle hit a landmine.[1],Taliban,War in Afghanistan
