,Date,Dead,Injured,Location,Details
130,September 3,3,4,"Faisalabad, Pakistan: A bomb exploded in a crowded bus station. The blast took place on a bus bound for Faisalabad. Three people were killed and several others wounded.[1]",
131,September 3,8,9,"Southern Colombia, Colombia: FARC assault on police station kills 7 officers, 1 rebel, injures 9.[1]",
132,September 4,0,8,"Barrancabermeja, Colombia: A bomb exploded in Barrancabermeja's commercial district, injuring four policemen, two security guards and two civilians. The bomb was made of 70 kilograms of R1 explosive. The intended target was apparently the National Customs and Tax Directorate (DIAN), as the device was placed on Carrera 8D and Sixth Street. The National Liberation Army (ELN) claimed responsibility for this attack that severely damaged several nearby stores.[1]",
133,September 7,2,10,"Lahore, Pakistan: A bomb went off in the main market of Dharampura in Lahore. Two people were killed and ten injured by the blast.[1]",
134,September 10,0,0,"Basque Country, Spain: The Basque Fatherland and Freedom (ETA) group is responsible for a bomb that exploded at a nightclub belonging to Narciso Korta, the brother of Jose Korta who was killed by ETA on 8 August. The explosion took place at a time when the nightclub was empty, thus no one was hurt. The roof of the premises collapsed as a result of the blast. Note: On 22 September, ETA officially claimed responsibility for this attack saying that they considered the discothèque a center of drug trafficking and said it, ""...hurts Basque youth and goes against the process of liberating the Basque Country.""[1]",
135,September 12,0,7,"Western Cape, South Africa: A bomb exploded at a Democratic Alliance rally, injuring seven. The bomb exploded shortly after the arrival of the Western Cape premier, Gerald Morkel, who was slated to address the rally. However, the police noted there is no way of knowing if the premier was targeted specifically in the attack.[1]",
136,September 13,6,20,"Jakarta, Indonesia: A blast in the Jakarta Stock Exchange basement car park in the late afternoon, left at least six dead and dozens injured. Police blamed the Free Aceh Movement (GAM) for the blast and by the end of the month had arrested over twenty-five people in connection with the blast. They said that the group, GAM, had been using bombing to undermine stability and security in the government. Almost a month after the attack, two soldiers from the Indonesian Armed Forces, were arrested as being suspects in the bombing. Investigators believed that they were also acting as gun runners for the Free Aceh Movement.[1]",
137,September 15,0,1,"Jeruselem, Israel: A Palestinian youth stabbed a Jewish woman in East Jerusalem's Neve Ya'agov neighborhood, injuring her.[1]",
138,September 15,8,28,"Colombo, Sri Lanka: A suicide bomber blew himself up opposite the Eye Hospital killing eight and injuring twenty-eight Police believe that the bomber was targeting security forces vehicles on Deans Road. Authorities blame the Liberation Tigers of Tamil Eelam (LTTE) for the attack.[1]",
139,September 18,3,8,"Colombo, Sri Lanka: A van bomb exploded killing eight, including two constables. The device detonated after the police had pulled the van over to check for hidden explosives.[1]",
140,September 19,4,9,"Phnom Penh, Cambodia: Four people died and nine others were injured in a grenade attack that occurred in Phnom Penh, at the site of a popular night-time eating place. Witnesses gave conflicting accounts of the attack. There was some suspicion that the Cambodian Freedom Fighters (CFF) were behind the attack. However, several sources noted that police investigations were proceeding very slowly and ineffectively.[1]",
141,September 19,19,90,Pakistan A deadly bomb explosion at a vegetable market left nineteen dead and many injured.[1],
142,September 20,1,5,"Zamboanga, Philippines: A suspected suicide bomber detonated himself on a ferry as it docked in Zamboanga, a major port in Southern Philippines. Investigators found a timing device on the man suspected of being the actual suicide bomber. At least five other people were injured in the attack. When the bomb exploded, a stampede erupted among the 390 passengers as they attempted to get off the ferry. The attack occurred close to the Jolo Island, where Abu Sayyaf has been holding hostages. It was unclear whether or not the two attacks were connected.[1]",
143,September 24,1,4,"Barrancabermeja, Colombia: Unknown persons threw a grenade at a Barrancabermeja public establishment on Circunvalar Avenue, killing one person and injuring four others.[1]",
144,September 25,2,15,"Southern Philippines, Philippines: A bomb exploded inside a state-run university in the Southern Philippines, killing two students and wounding eleven others. The blast occurred near the social hall of the University of Southern Mindanao, where students were preparing for an annual celebration. No group claimed responsibility, but suspicion was placed upon the Moro Islamic Liberation Front (MILF) which has been involved in several other blasts in the same town recently.[1]",
145,September 30,0,0,"Vitoria, Spain: Major damage was caused at the Mecanizados Alberdi Company after a device exploded at the entrance to the workshop. The company employs about forty people and is located on an industrial estate outside Vitoria. A Basque government spokesman calls the attack ""unacceptable ETA [Basque Fatherland and Freedom] blackmail.""[1]",
146,October 1,0,1,"Larne, United Kingdom: Loyalists are being blamed for detonating a device that seriously injured a young Protestant man in Larne. Police believe that the Protestant man was not the intended target: his two Catholic companions were to be the victims. One of the two Catholic men had been the victim of a pipe bomb attack in the past. This attack has been labeled sectarian.[1]",
147,October 1,9,15,"Santo Ramos, Philippines Nine people were killed and fifteen injured when members of the Communist New People's Army (NPA) ambushed a medical mission in Santo Ramos, Davao del Norte. The victims were on their way back to their mission when they were attacked, first by an explosive and then by gunfire.[1]",
148,October 1,3,6,"Dushanbe, Tajikistan: At least one bomb exploded at the Christian Korean Mission in Dushanbe while a Sunday service was in progress. Some news reports stated that two bombs exploded. The blast killed at least three people and injured six, however more casualties may have been caused. Approximately one month after the attack, Tajik officials arrested three men in conjunction with the explosion. All three are students of a Dushanbe Islamic institute. One of them stated that they carried out the attack because they were upset that Muslims had visited the Christian mission.[1]",
149,October 3,26,49,"Batticaloa District, Sri Lanka Over twenty people were killed with a bomb went off killing National Unity Alliance Batticaloa District candidate M. Baithullah. Authorities blame the Liberation Tigers of Tamil Eelam (LTTE) for the attack.[1]",
150,October 4,0,2,"Cartagena de Indias, Colombia: A low-powered bomb exploded in a neighborhood in Cartagena, injuring a woman and a child. Urban guerrillas are suspected of involvement in the attack.[1]",
151,October 6,10,25,"Medawachchiya, Sri Lanka: The Liberation Tigers of Tamil Eelam (LTTE) is suspected in a suicide bombing that killed ten people and injured twenty-five. The bomber walked into a People's Alliance meeting at the Medawachchiya bus stand and blew themselves up. The meeting was being addressed by the Deputy Minister of Health and Indigenous Medicine. The suicide bombing comes days after the bombing at Muttur which left twenty-six dead, including District Candidate M. Baithullah, and after two other bombings involving other political figures.[1]",
152,October 9,1,0,"Andalusia, Spain: The Basque Fatherland and Freedom (ETA) is being blamed for shooting Luis Portero in the head as he returned to his home in Granada after work. Portero, the chief prosecutor for the Supreme Court in Andalusia, is the first member of the judicial community that ETA has targeted since last December. The car that police suspect was used by the perpetrators was later found burned out.[1]",
153,October 9,9,60,"Gulu, Uganda: The local press reported that the Lord's Resistance Army (LRA) targeted two discos in grenade attacks, killing nine and wounding sixty others. Both incidents were in Gulu, which is situated in Northern Uganda near the LRA's stronghold. The attack occurred on Uganda's independence day.[1]",
154,October 12,17 (+2),39,"Aden, Yemen: USS Cole bombing: On 12 October 2000, USS Cole, under the command of Commander Kirk Lippold, set in to Aden harbor for a routine fuel stop. Cole completed mooring at 09:30. Refueling started at 10:30. Around 11:18 local time (08:18 UTC), a small craft approached the port side of the destroyer, and an explosion occurred, putting a 40-by-60-foot gash in the ship's port side according to the memorial plate to those who lost their lives. According to former CIA intelligence officer Robert Finke, the blast appeared to be caused by explosives molded into a shaped charge against the hull of the boat.[1] It was speculated at the time that over 1,000 pounds of explosive were used.[2] The blast hit the ship's galley, where crew were lining up for lunch.[3] The crew fought flooding in the engineering spaces and had the damage under control by the evening. Divers inspected the hull and determined the keel was not damaged.Seventeen sailors were killed and thirty-nine others were injured in the blast. The injured sailors were taken to the United States Army's Landstuhl Regional Medical Center near Ramstein, Germany and later, back to the United States. The attack was the deadliest against a U.S. Naval vessel since the Iraqi attack on the USS Stark (FFG-31) on 17 May 1987.The USS Cole bombing was a suicide attack against the U.S. Navy destroyer USS Cole (DDG 67) on 12 October 2000 while it was harbored in the Yemeni port of Aden. Seventeen American sailors were and two attackers were killed.",
155,October 13,0,4,"Haifa, Israel: Four people- three Jews and an Arab- were wounded in a shooting attack on Yafo Street in downtown Haifa. The assailant was an immigrant from the Commonwealth of Independent States (CIS) and state he carried out the attack in retaliation for a recent lynching in Ramallah.[1]",
156,October 13,0,4,"Bethlehem, Israel: Settlers from Efrat (south of Bethlehem) fired on Palestinian houses south of al-Khadir and Arta, injuring four people.[1]",
157,October 15,4,45,"Cali, Colombia: A bomb went off in Cali outside a rehabilitation center in the Obrero neighborhood. Two children were killed and thirty other injured. An explosive device went off in a Christian church in Cali, killing two and injuring fifteen. No further information is available.[1]",
158,October 17,1,5,"Beit Furik, Israel: Settlers from Elon Moreh opened fire on a Palestinian family working in their field in Beit Furik, near Nablus. One was killed and five others were injured.[1]",
159,October 20,3,21,"Colombo, Sri Lanka: Three people were killed when a suspected Liberation Tiger of Tamil Eelam (LTTE) suicide bomber detonated a bomb near the Colombo town hall. Police believe the bomber had been waiting to target a VIP. Three American nationals were among the injured.[1]",
160,October 22,1,0,"Vitoria, Spain: Prison officer Maximo Casado died when a bomb exploded in his car. The bomb was detonated when Casado started the ignition in his garage in Vitoria. EFE states that this attack was perpetrated by the Basque Fatherland and Freedom (ETA).[1]",
161,October 23,0,0,"Corse du Sud, Corsica, France: A bomb exploded at the electoral office of a Rally for the Republic (RPR) deputy in the Corse du Sud department. The office belonged to Roland Francisci, who is one of the main opponents of the Matignon Agreements which deal with devolution in Corsica.[1]",
162,October 23,0,0,"Thessaloniki, Greece: An explosive device detonated outside the Greek police pavilion at the Thessaloniki International Trade Fair. At the site, authorities found the initials ""LEM"" written on a piece of cardboard. Police blame this organization, the Popular Revolutionary Front (LEM), for the attack. The explosion caused only minor damage to the pavilion.[1]",
163,October 26,1,30,"Bangi, India A person was killed and thirty injured when a bomb ripped through a passenger train that was traveling from Bangi to Rampur.[1]",
164,October 26,1,1,"Gaza Strip: A suicide bomber strikes near an IDF post in the Gaza Strip, wounding a soldier.[12]",
165,October 27,0,1,"Bethlehem, Israel: A Border Policeman was injured in a bomb explosion in the area of al-Ghadir near Bethlehem.[1]",
166,October 29,4,3,"Kashmir, India: Four police officers were killed when extremists began firing indiscriminately on a crowd during the distribution of a prize at a soccer match. Authorities believe that Saba Ahmad, the Bihar Education Minister, who was in attendance at the match, was the target of the attack.[1]",
167,October 30,1,1,"Jerusalem, Israel: The National Insurance Institute's East Jerusalem branch was attacked by Palestinian militants. The militants approached the reception desk at the Institute and fired at the guards. Eish-Kodesh Gilmor, a security guard at the Institute, was killed by gunmen and his fellow guard, Itai Suissa was critically wounded. In response to the attack, the National Insurance Institute decided to close the East Jerusalem branch. No one claimed responsibility for the attack.[1]",
168,October 30,0,0,"Labangan, Philippines: A powerful bomb exploded under a major bridge in Labangan, Zamboanga del Sur, disrupting the flow of goods and traffic to and from Pagadian City and causing panic. The bomb was planted at the main structure of the foundation and was made of ammonium nitrate and a timing device. No one had claimed responsibility for the attack but it was suspected the Moro Islamic Liberation Front (MILF) was involved.[1]",
169,October 30,3,66,"Madrid, Spain: A car bomb, consisting of more than sixty pounds of explosive, detonated in downtown Madrid, killing three people (including supreme court judge Jose Francisco Querol Lombardero) and injuring at least sixty-six others. The bomb was detonated by remote-control as a bus turned a corner at the site of the blast. Thirty-two of the injured were on board the bus. Authorities have blamed the attack on the Basque Fatherland and Freedom (ETA) group.[1]",
170,November 2,0,26,"Rawalpindi, Pakistan: A bomb detonated at the Raja Bazar injured twenty-six people. According to police the Taliban's Northern Alliance may have joined forces with India's Research and Analysis Wing (RAW).[1]",
171,November 2,0,2,"Barcelona, Spain: Two security guards were slightly injured when a car bomb exploded near a Hilton Hotel in Barcelona only hours before Prime Minister José María Aznar was due to visit the city. A caller from the Basque Fatherland and Freedom (ETA) warned of the attack prior to the blast. Authorities are unsure if Aznar was the intended target of the attack.[1]",
172,November 10,0,1,"Jerusalem, Israel: An explosive charge was detonated near the walls of Jerusalem's Old City, injuring a policeman.[1]",
173,November 12,0,1,"Pemba Island, Tanzania: Masoud Muhammad Shambi, a government election official, was injured in a bomb attack targeting Mr. Shambi at his home on Pemba island. The incident closely followed the recent parliamentary elections in which pro-independence supporters allege fraud by the ruling CCM party as well as the Zanzibar Electoral Commission.[1]",
174,November 12,1,6,"Aceh, Indonesia: An explosion occurred near a Christian meeting hall in the capital of Indonesia's North Sumatra, where hundreds of people were gathering to mark the 50th Anniversary of the Indonesian Council of Churches. The blast killed one woman and injured several other people and caused damage to nearby buildings. Police suggested that an Aceh separatist group, likely the Free Aceh Movement (GAM), was responsible for the blast, because of the nature of the device used.[1]",
175,November 13,3,8,"Wadi al-Haramiyah, Israel Palestinian gunmen opened fire on an Israeli car and bus at the Hamishtara Habriti junction in Wadi al-Haramiyah, north of Ofra, killing three and injuring eight. The Salah-al-Din Battalions claimed responsibility for the attack.[1]",
176,November 13,0,3,"Villavicencio, Colombia: A powerful explosion destroyed three warehouses and injured three people in Villavicencio. The owner of one of the warehouses said he had not received any threats. The damage could exceed over one billion pesos.[1]",
177,November 14,1,4,"Cali, Colombia: A guerrilla group gave an indigent man a package that, unbeknownst to him, was filled with explosives. The package exploded as he walked through the banking sector of Cali, killing him and wounding four others. The package reportedly contained 500 grams of ammonium nitrate fuel oil.[1]",
178,November 15,1,1,"Cali, Colombia: A car bomb exploded in an avenue in the center of Cali, injuring one woman and killing one man. The National Liberation Army (ELN) is suspected of being involved in the attack.[1]",
179,November 18,1,17,"Puerto Asis, Colombia: A motorcycle bomb exploded in downtown Puerto Asis (Putumayo Department), killing one and injuring seventeen others. No group has claimed responsibility, but the National Police later blamed the Revolutionary Armed Forces of Colombia (FARC) for the attack.[1]",
180,November 20,0,1,"Qalqilyah, Israel: Settlers from Kari Shabon shot and injured a Palestinian in the Qalqilyah area.[1]",
181,November 22,1,14,"Port-au-Prince, Haiti: Three men threw a homemade bomb into a Port-au-Prince commercial center, killing a 14-year-old boy. The incident was just one of seven bomb attacks that day that injured fourteen people. (Details on the other attacks were not available). The incidents came in the general unrest leading up to the Presidential elections which will take place on 26 November.[1]",
182,November 24,2,10,"Almannar, Sri Lanka Two school children were killed when the Liberation Tigers of Tamil Eelam (LTTE) fired mortars on the Almannar Muslim school. Authorities believe the LTTE intended to aim the devices at a nearby police station but they hit the school and a bus stop instead.[1]",
183,November 25,0,0,"Elorrio, Spain: An explosive blast damaged the main door and ceiling of the offices of Telefónica in Elorrio. The blast also damaged a saloon car and other nearby buildings.[1]",
184,December 1,16,17,"Assam, India",Three attacks killed 16 people and injured 17 in Assam.[1]
185,December 5,0,1,"Amman, Jordan","An Israeli diplomat was shot and injured in the Jordanian capital. Shlomi Ratzabi was hit in the left leg by gunfire as he drove near the 7th circle in Amman's Shamhani neighborhood. A group calling itself the Movement for the Struggle of the Jordanian Islamic Resistance claimed responsibility for the attack, the second on Israeli diplomats in Jordan in two weeks- and said it was carried out by ""the group of the hero Ahmad al-Daqamsa."" Daqamsa was a Jordanian soldier who opened fire on a busload of Israeli students in 1997, killing seven.[1]"
186,December 6,7,44,"Batticaloa, Sri Lanka",The Liberation Tigers of Tamil Eelam (LTTE) set off a Claymore-type bomb aimed at a bus near Batticaloa. Four people were killed and twenty-one injured in the blast. The Liberation Tigers of Tamil Eelam (LTTE) blew up a Colombo-bound civilian passenger bus coming from Batticola. The attack killed three people and injured twenty-three others.[1]
187,December 8,22 (+1),31,"Jarafa, Sudan",2000 Jarafa mosque massacre: Shooting left at least 22 people dead in Jarafa.
188,December 8,3,15,"Pyatigorsk, Russia","Three people were killed and 30 injured when two car bombs exploded near a market in Pyatigorsk. Forty-eight buildings were also damaged in the blast. Officials stated that the bombs exploded at the same time and yielded 15–20 kilos in terms of TNT. Investigators stated that they saw a 'Chechen trace' in the attacks. The first bomb exploded in a truck, killing one, injuring at least five and damaging two apartment blocks. Five suspects were arrested in the attack.[1]"
189,December 9,21,30,"Chechnya, Russia","A car-bomb explosion in the Chechen village of Alkhan-Yurt killed 21 people and injured 30. Most of the victims were under 21 years old. According to AFP and the population of the town Chechen, and not Russian forces, planted the mine. However, Chechen forces claimed they had nothing to do with the incident. Four people were detained in the blast.[1]"
190,December 14,4,2,"Batticaloa, Sri Lanka",Two policemen and two civilians were killed when a bomb exploded in the eastern Batticaloa area.[1]
191,December 18,0,2,"Hawwarah, Israel","Settlers opened fire at a Palestinian school in the village of Hawwarah near Nablus, wounding two students. The settlers drove to the school's main gate in three cars. Part of the group then got out and started shooting at students standing near the entrance.[1]"
192,December 19,1,3,"Zeytinburnu, Turkey","One person was killed and three injured when two gunmen opened fire on the Zeytinburnu branch of the Idealist Hearths, an ultra right-wing nationalist group. Note: The Leninist Guerrillas Troops of the Turkish Communist Labor Party/Leninists (TKEP/L) claimed responsibility for the attack as their ""answer to the military operation against the revolutionary prisoners in Turkey."" They also stated, ""Take up arms against Fascism."" The communiqué with the claim of responsibility is posted on the Arm the Spirit website http://burn.ucsd.edu/~ats[1]"
193,December 20,2,17,"Tiaret, Algeria","Local press report two killed and seventeen injured from a bomb hidden in a taxi van. Tiaret is a frequent site of attacks by the Salafist Group for Call and Combat (GSPC), though no group claimed credit for the attack.[1]"
194,December 22,0,3,Israel,A Hamas suicide bomber detonates at Jordan Valley.[13]
195,December 24,15,96,"Jakarta, Indonesia","A wave of bombings erupted in churches across predominantly Muslim Indonesia in what authorities believed was an organized attack against the country's Christians. The attacks were also thought to be intended to destabilize the nation just as it was beginning to stabilize politically and economically. In Jakarta alone at least seven churches were damaged in separate blasts. Bombs also exploded in Batam, West Java, Sumatra, and several other cities. All of the bombings occurred between 9:00 and 9:30 pm. A total of 15 people were killed and at least 96 injured. Those wounded and killed included children and several policemen. The bombings were condemned strongly even by the Muslim Extremist group, Jihad Warrior. On Dec. 26, authorities in Bangung announced that they were detaining two individuals for questioning and possibly for involvement in the attacks. The two suspects were in the hospital, as they were wounded in the attack as well. One of the two admitted to attending planning meetings for the bombing and said that the bomb set-up included yellow powder, carbon, an alarm clock, and a cell phone. The detonation was done using a timer and a cell phone. On Jan. 17, the Jakarta Post stated that they had arrested eight suspects in connection with the Christmas Eve bomb attacks. At least one of the suspects admitted his involvement in the bomb preparation. On Jan. 23, Police investigators announced that they believed the individual responsible for planning the attacks was in Malaysia. Throughout the investigation, there was much speculation on who had perpetrated the attacks. Several sources reported Army involvement [in particular Major General Saurip Kadi], one suggested that Chairman of the Laskar Sabilillah, Nur Hadayat, was responsible, and one implicated Tommy Soeharto. However, little evidence was offered to support any one of these claims.[1]"
196,December 30,22,100,"Manila, Philippines","Rizal Day bombings: A wave of six blasts in the Philippine capital of Manila left a total of twenty-two people dead and about 100 injured. All the blasts used ammonium nitrate. Investigators suspected that the Moro Islamic Liberation Front (MILF) was responsible for the attack, and even arrested some suspects. However, the MILF denied involvement and instead blamed the Abu Sayyaf Group (ASG) for the attacks. An alternate theory claimed that Abu Sayyaf had indeed perpetrated the bombings and would continue to commit such acts until their leaders were released. A final theory blamed members of the police and Philippine's Senate for the attacks. However, in May 2003, a detailed terrorist Saifulla Unos involved in MILF and with links to al-Qa'ida admitted to leading the attacks in Manila in 2000. A fourth blast occurred at a cargo handling facility at Manila's international airport. No one was injured in this incident. On 2 August, two men were arrested and implicated in connection with all of these bombings. These men, Mamasao Naga and Abdul Pata have ties to the Jemaah Islamiah (JI) terrorist group.[1]"
197,December 31,2,5,"Ofra, West Bank","Shots were fired from the village of Ayn Yabrud at an Israeli car carrying Binyamin Ze'ev Kahane and his family near Ofra, killing Kahane and his wife and wounding their five daughters.[1]"
