,Date,Dead,Injured,Location and description
156,24 September,0,1,"Jerusalem, Israel. Israeli historian Zeev Sternhell, known for his criticism of Jewish settlements in the occupied West Bank, was injured when a bomb exploded at his home. Peace Now, an Israeli rights group devoted to ending the occupation of the Palestinian territories, blamed extreme right-wing groups for the attack.[172]"
157,25 September,0,1,"United Kingdom A man survived after being shot in the neck by the RIRA on the County Londonderry-County Donegal border. The same man was targeted in a pipe bomb attack on his home on 25 October, the RIRA did not claim responsibility for the attack, but security forces believe they were responsible for it."
158,25 September,0,7,"Yangon, Myanmar. A small bomb exploded at a bus stop near the city hall in a busy downtown area. The blast came about a year after anti-government protests were suppressed.[153][173]"
159,27 September,17,14,"Damascus, Syria. At least 17 people been killed and 14 hurt by a car bomb on the outskirts of Syria's capital. The target of the blast was unclear, but it struck close to an important Shia shrine and a security post.[174]"
160,27 September,3,23,"South Delhi, India. Two weeks from the day of serial blasts killing 30, another bomb was detonated in a market in the Mehrauli district killing three and injuring 23.[175]"
161,28 September,34,100+,"Baghdad, Iraq. Several blasts occurred across Baghdad in what turned out to be the deadliest day in the city during Ramadan. The first attack was planted inside a minibus, in the Shurta neighborhood, killing 12 and injuring at least 30. Minutes later, a car bomb exploded in the Hay al-Amil district, killing one. Later, a suicide bomber wearing an explosives vest detonated minutes after a bomb in a parked car exploded. A roadside bomb also occurred within the time frame.[176] An Iraqi government security spokesperson said ""the insurgents want to show there is no security in Baghdad"".[177]"
162,28 September,4,10,"Gigiga, Ethiopia. A roadside bomb exploded near a taxi station and harmed several civilians.  Authorities blamed the ONLF, who denied responsibility.[178]"
163,28 September,7,30,"Tripoli, Lebanon. A car bomb targeting a military bus carrying soldiers is detonated, killing 7 and injuring 30.[179]"
164,28 September,3,6,"Dellys, Algeria. A suicide car bomber attacked the coastal town of Dellys in the Takdemt district killing 3 people.[180]"
165,29 September,0,5,"Colombo, Sri Lanka. A bomb placed underneath a van exploded in the Pettah market area.  The government immediately blamed the LTTE.[181]"
166,29 September,1,15,"Ahmedabad, India. A low-intensity bomb exploded at a market packed with Muslims breaking their Ramadan fast, killing one and wounding 15.[182]"
167,30 September,8,30,"Gujarat and Maharashtra, India. Three bombs explode in western parts of India killing 8 and injuring 30.[183]"
168,1 October ,~4,100,"Agartala, India. Three bombs exploded in the insurgency-racked North-East India. Police said they suspected Muslim militant groups based in Bangladesh for the blasts in the Radhanagar and Gulbazar areas of Tripura's capital.[184][185]"
169,1 October ,1,1,"Diyarbakır, Turkey. PKK militants attacked Turkish soldiers.[186]"
170,2 October ,20+,60,"Baghdad, Iraq. Suicide bombers targeting the Eid ul-Fitr celebrations killed at least 20 people in attacks on two Shiite mosques during early morning prayers.[187][188]"
171,2 October ,4,7,"Peshawar, Pakistan. A suicide bomber targeted the home of Asfandyar Wali Khan, the chief of the Awami National Party, on the second day of Eid al-Fitr during a gathering at his house in the town of Charsada, near Peshawar.[189][190]"
172,3 October ,7,8,"Tskhinvali, Georgia. A car full of explosives blew up near a Russian military base.[191][192]"
173,3 October ,0,0,"Tolosa, Spain. At about 1:15, 10 kg worth of explosives detonated in front of the Tolosa court house causing minimal damage.[193]"
174,6 October ,27+,80+,"Anuradhapura, Sri Lanka. A suicide bomb exploded in the office of the United National Party near a bus stand.  A former senior general, Janaka Perera, who had been serving as a regional leader for the party was among the dead.  The Tamil Tigers were quickly blamed.[194]"
175,6 October ,17+,2,"Mogadishu, Somalia. Mortar rounds slammed into a market after a failed insurgent attack on the presidential palace. A remote-controlled land mine also killed a Somali driver and wounded two aid workers – an Italian and a Somali.[195]"
176,6 October ,25,60,"Bhakkar, Pakistan. A suicide bomber set off his explosives as he tried to force his way into an opposition politician's home during a celebration marking Eid al-Fitr. The target was Rashid Akbar Khan Nawani, a member of Pakistan's minority Shiite Muslim community, who was injured but survived the attack.[196][197]"
177,7 October ,1+,5,"Baghdad, Iraq. Two blasts went off near Baghdad's Green Zone outside the Foreign Ministry, as US Deputy Secretary of State John Negroponte, was to hold a press conference about his visit to Iraq.[198]"
178,8 October ,0,5+,"Guwahati, India. A bomb exploded near a crowd gathered for Durga Puja festivities.  A police spokesman said the low-intensity blast took place near the Japorigog area at around 20:30.[199]"
179,8 October ,4,22,"Diyarbakır, Turkey. Three police trainees and a civilian were killed, with 22 others also wounded, in an attack on a police bus. Unidentified assailants armed with guns and explosives attacked the vehicle on a busy street outside the city of Diyarbakır. Of the injured at least 11 of the wounded were trainee police officers and the others were civilians. Though there was no immediate claim of responsibility for the attack, Kurdish separatist guerrillas frequently target Turkey's armed forces and police in the mainly Kurdish southeast; the attack also came shortly before the parliament in Ankara was scheduled to approve a government request to extend a mandate to launch military operations against PKK rebels based in northern Iraq.[200]"
180,8 October ,7–10,?,"Baquba, Iraq. A female suicide bomber detonated explosives near the front of the Court of Appeals on a street that has a number of government buildings in the provincial capital.  She was the 17th woman to detonate a suicide bomb in Diyala this year.  The street has been attacked by suicide bombers at least 16 times in the last five years, including three times this year by women.  The American military had a slightly lower toll than the Iraqi police, but some bodies may have been taken away before the Americans arrived at the scene.[201]"
181,9 October ,8,8,"Islamabad, Pakistan. A suicide bomber attacked a main police headquarters.  The targeted area is the main police complex in Islamabad, containing training and residential facilities for police officers. Thousands of police are based at the center.[202][203]"
182,9 October ,11,0,"Dir District, NWFP, Pakistan.  A bomb explosion occurred near a police van carrying prisoners. Four schoolchildren in a passing bus were also among the dead.[204]"
183,9 October ,1+,3,"Colombo, Sri Lanka. A suicide bomb attack targeted a convoy carrying the agriculture minister near a Buddhist temple in the Borelesgamuwa suburb.[205]"
184,10 October ,up to 4,81,"Bajaur, Pakistan. Taliban militants beheaded four tribal elders who had attended a pro-government meeting in the insurgency-hit region of Bajaur. The victims were abducted when heading home after a jirga, which the Charmang tribe had called to plan action against Taliban militants in their area.[206]"
185,10 October ,113,100+,"Orakzai, Pakistan. A suicide bomber drove his car into a meeting of 600 people which was being held in open ground and blew himself up. The meeting was a council of local leaders discussing to raise a militia to evict Taliban from the region.[207][208][209]"
186,10 October ,15,39,"Baghdad, Iraq. Three bombs detonated in Baghdad.The first was a bomb that exploded next to a mini bus, killing one and injuring 12.[210]The second occurred when a vehicle exploded at about 16:30 in the main market area of Abu Dshir leaving 13 dead and 27 others injured in the Bayaa district in Abu Dshir, south of Baghdad, a Shia enclave in the Sunni dominant district of Dora.[211][212]Another bomb killed an anti-American Shia MP, Saleh al-Ogayly, in Sadr City. The Sadrist MP became the first Iraqi legislator to be killed since the 12 April 2007 suicide bombing of the national parliament in which one politician and seven others died.[213]"
187,11 October ,0,0,"Monterrey, Mexico. Unknown assailants shot at the U.S. consulate building and threw a grenade that failed to explode. Two men attacked the consulate around midnight when it was closed. Though nobody was hurt in the assault, the gate was pockmarked and six spent .45-caliber casings were found at the scene. It was not clear if the attack was related to a wave of violence by drug gangs; there was no evidence it was related to political terrorism.[214]"
188,12 October ,13,20,"Baghdad, Iraq. Multiple attacks around the city killed and wounded several.A parked car bomb detonated in an outdoor market killing nine civilians and wounding 13 others. The attack happened in the Shiite neighborhood of Bayaa, in southwestern Baghdad, around 13:30.Sniper fire killed two Iraqi soldiers in the Mansour neighborhood.In the eastern Baghdad neighborhood of Zaiyouna, a roadside bomb injured seven people, including five police officers.In southern Baghdad's Dora neighborhood, unknown armed men killed two members of the Sons of Iraq.[215]"
189,12 October ,1,7,"Neiva, Colombia.  Authorities blamed FARC for two attacks on hotels in the center of Neiva in the south west of Colombia. .[216]"
190,13 October ,1,6,"Baghdad, Iraq. Two attacks killed one and wounded more.A roadside bomb exploded as an Iraqi police patrol was in the area in northeastern Baghdad, wounding five people, including three police officers.A Christian businessman was killed and his nephew was wounded in a drive-by shooting as they were standing near their house in the Kazraj neighborhood.[217]"
191,13 October ,0,5,"North-West Frontier Province, Pakistan. A remote-controlled bomb detonated near the vehicle of a secular political leader, who was injured along with four others. This follows a string of attacks against lawmakers and government officials; and was also the second this month aimed at the Awami National Party. The attack apparently targeted Shamin Khan, a member of the ANP, at 18:30.[218]"
192,14 October ,3,0,"Nepal A woman and her two children died in a bomb explosion in the Terai, a region that has seen constant ethnic unrest for nearly two years. Shortly afterwards two separate militant groups both said they were responsible. Each claim to fight for the rights of the Madhesi ethnic group.[219]"
193,14 October ,19,1,"Kabul, Afghanistan. A roadside blast in the east of the country where U.S. soldiers operate killed three NATO troops; while two separate roadside bombs in the southern Uruzgan province killed 16 Afghan civilians.[220]"
194,16 October ,4,0,"Mingora, Swat Valley, Pakistan. A suicide bomber rammed an explosives-laden vehicle into a police station. The attack was the latest addition to a string of bombings against security forces in the northwest of Pakistan, where the government is waging a military campaign against al-Qaeda and Taliban-linked fighters. The police chief said that the ""huge blast"" killed three security force personnel and one policeman and destroyed the police station.[221]"
195,17 October ,3,7,"Baghdad, Iraq. Officials said a bomb planted near a mosque in north Baghdad killed three Shiite worshipers as they were leaving Friday prayers and damaged surrounding homes.  The blast happened in the primarily Shiite neighborhood of Sha'ab.[222]"
196,17 October ,1,4,"Dalton, Georgia, United States An explosion at a personal injury law firm in downtown Dalton, Ga., injured four people, including at least one lawyer, and resulted in the death of the apparent bomber in what a federal law enforcement spokesman described as a suicide attack.[223]"
197,19 October ,4,6,"Balochistan, Pakistan. A separatist group, Baloch Republic Army, claimed responsibility for a bomb blast in northwestern Balochistan province.  The blast occurred in a bazaar of the Dera Bugti district, and the remote-controlled bomb was planted in a motorcycle.[224][225]"
198,19 October ,2,27,"Baghdad, Iraq. Two bombs went off in the city. The first injured 16, while the second, a roadside bomb targeting an Iraqi police patrol, went off in southeastern Baghdad, leaving two people dead and 11 more wounded. Police and medical officials said the blast occurred near a fuel station in the Zafaraniya neighborhood. The powerful blast damaged several nearby civilian cars. Sources also added that the dead were civilian, while three policemen were among the wounded.[226][227]"
199,12–19 October ,40+,0,"Southern Afghanistan.  Authorities in Kabul said that Taliban militants hijacked a bus in southern Afghanistan last week and killed as many as 40 passengers, although only six bodies were discovered.[228]"
200,20 October ,13+,12,"Chhattisgarh, India. Naxalites allegedly killed Central Reserve Police Force (CRPF) personnel in the Bijapur District following the announcement of two-phase Assembly elections in Chhattisgarh. The attack also left 12 personnel of CRPF and the Border Roads Organisation, who were carrying out road construction work in the area, injured. The attack took place at about 13:30 between Modukpal and Kongupalli in the district. According to reports, one of the attackers was also killed in the exchange of fire that followed.[229][230]"
201,20 October ,0,2,"Quetta, Pakistan. Two journalists were injured when a bomb planted in a gas geyser went off outside the offices of local newspapers in Universal Complex. An editor and photographer of Daily Awwam suffered minor injuries as a result of the blast, while windows of nearby buildings, shops and a medical complex were smashed as a result of the blast.[231]"
202,20 October ,4,7,"Baghdad, Iraq. Civilians were killed and seven others were injured when a roadside bomb struck a bus in the Iraqi capital. The blast took place in the eastern, Shia-dominated neighbourhood of al-Fadiliya, Mashtal when it was hit by a roadside bomb according to the news agency Voices of Iraq. Police said the bus was carrying employees from the country's Housing Ministry, and that the bomb blast damaged nearby vehicles and buildings.[227][232]"
203,20 October ,7,2,"Kunduz Province, Afghanistan. Five children and two foreign soldiers died in a suspected suicide bomb attack, according to the International Security Assistance Force. The German Defense Ministry said the attack had targeted a convoy of German soldiers. The explosion ripped apart one of the vehicles killing two German soldiers and injuring one more; a group of children were playing beside the road near the explosion.  Five children were killed and one child was very seriously wounded. A Taliban spokesman claimed responsibility but denied that any children were casualties in the attack.[233]"
204,21 October ,0,1,"Helsinki, Finland. Finnish police say an Embassy employee was injured in an arson attack on the Turkish embassy building in central Helsinki. Officers said the front door was burned in the attack and the fire spread indoors before it was extinguished by fire fighters. The early morning attack came hours after a peaceful anti-Turkey protest the day before outside the embassy by a few dozen Kurdish demonstrators. Police said four men had been detained on suspicion of the attack, and that the attack could have been politically motivated and that some of the men had a Turkish-Kurdish background.[234]"
205,21 October ,0,1,"Bangkok, Thailand. A bomb blast hit the residence of the Supreme Administrative Court of Supreme Administrative Court president Akrathorn Chularat in Chatuchak district in the early hours of the morning. Akrathorn was not in his residence in Soi Lat Phrao 25, Phahonyothin Road, as he was on an overseas trip. Police were alerted to the bomb blast at about 1:00 where they found a 10-centimetre deep pit about four meters wide on the grounds within the compound. Witnesses said they heard the sound of motorcycles in front of the house shortly before the bomb exploded.[235]"
206,21 October ,17+,30+,"Imphal, India. A bomb was suspected to have been planted on a moped near the Manipur police commando complex at Minuthong in Imphal at 19:30.  Police said none of the Manipur police commando personnel staying at the barrack complex were among the casualties. Unconfirmed reports, however, said a surrendered militant may be among the dead.[236]"
207,22 October ,0,10+,"Janakpur, Nepal. A home-made bomb went off at a government office in the southeast of the country. The blast occurred at a land revenue office.  The Terai National Liberation Army claimed responsibility.[237][238]"
208,22 October ,3,3,"Belpahari, West Bengal, India. Three members of a mobile medical team were killed in a blast triggered by Maoists. The Maoists, however, issued an apology for the killing of the health staff and stated that they were not the intended target.  Two people have been arrested in connection with the blast though locals claimed that the duo were innocent of the charges.[239]"
209,23 October ,11,22,"Baghdad, Iraq. In the Bab al-Sharji area of central Baghdad, a suicide bomber rammed his car into Iraqi labor Minister Mahmoud Mohammed al-Radhi's convoy. Al-Radhi was not actually in the convoy.[240][241][242]"
210,23 October ,1,1,"Kandahar, Afghanistan. The provincial police chief narrowly escaped a donkey-borne bomb attack which left one of his officers dead and one wounded. The attack took place shortly after noon on a road outside Kandahar City as the police chief, Matiullah Achakzai, was headed to the Zhari district in a two-truck police convoy. Achakzai was, however, not injured in the attack. A spokesman for the provincial governor, said the bomb had been attached to a donkey by the side of the road and was detonated by remote control. The first truck was destroyed in the blast, while the second truck drove into the crater created by the blast.[243]"
211,23 October ,0,0,"Aceh, Indonesia. A grenade exploded outside the office of the former separatist rebels, Free Aceh Movement (GAM), in the once-restive Aceh province, although no one was reported injured. The blast damaged two cars and the office windows of the Aceh Transitional Commission (KPA) office. Police were questioning four witnesses in regard to the blast. The explosion occurred about two weeks after the GAM founder, Hasan di Tiro, returned home from more than 30 years' exile in Sweden.[244]"
212,23 October ,0,16,"Bogotá, Colombia. Police blame FARC for a series of blasts occurring throughout the capital.  The explosives had been left in waste bins in six separate residential areas.[245]  Witnesses described the blasts as ""not high-powered"", and the injuries were minor.[246]"
213,24 October ,0,0,"Athens, Greece. At about 4:00 am police were able to defuse a homemade explosive that had been left outside the offices of Royal Dutch Shell.  They had received an anonymous phone call warning of the device's location.  Authorities usually attribute similar attacks to extreme leftists and anarchists.[247]"
214,25 October ,3,0,"Kabul, Afghanistan. A security guard working for the international shipping company, DHL, opened fire and killed the company's country director and his deputy before turning the gun on himself. The shooting took place in front of the DHL office in downtown Kabul, with one Briton and one South African casualty, according to the British Foreign Office and South African governments. The preliminary investigation found one of the Afghan security guards protecting the DHL compound had opened fire on the car carrying the two foreigners when it pulled into the company headquarters. The guard then put a Kalishnikov rifle to his own head and killed himself. The guard had, apparently, been hired about a month ago from a Pashtun area just north of Kabul, where the Taliban draws many of its fighters from the Pashtun ethnic group, however, police had no conclusive evidence linking him to any insurgent organization. A Taliban spokesman denied involvement in the attack.[248]"
215,25 October ,2,1,"Near Abkhazia, Georgia. Giorgi Mebonia,  governor of the Tsalenjikha district of Georgia, was killed in an explosion close to the border with Abkhazia. A citizen also died in the attack and a police officer was wounded in the village of Mujava. The Georgian interior ministry said Mebonia's car was hit by an explosive device and his convoy was fired at, but it was not known who had fired the shots.[249]"
216,28 October ,4,5,"Gadchiroli, India. Four policemen, including a sub-inspector, were killed in an encounter with Naxalites in the Korepile forest in Aheri Taluka of Gadchiroli district. Five other policemen also received bullet injuries. The police party came under attack during routine patrolling.[250]"
217,28 October ,11,0,"Mohmand Agency, Pakistan.  A suicide bombing at a security checkpoint came just days after Pakistan's parliament condemned any incursion on Pakistani soil. A man drove a vehicle carrying explosives into a checkpoint in the village of Ghalani.[251]"
218,28 October ,2+,12,"Quetta, Pakistan. A car bomb exploded in the provincial capital of Quetta.  The blast at a busy road in the government offices area of the gas-rich Baluchistan province, also destroyed several rickshaws, cars and a pick-up truck. The police chief said that the bomb exploded during rush hour.[252][253]"
219,29 October ,56,80,"Somalia Five suicide attacks on multiple facilities, three suicide car bombers struck the presidential palace, the United Nations Development Program compound, and the Ethiopian Consulate in the city of Hargeisa in Somaliland and two suicide bombers on foot targeted two intelligence facilities in the city of Bosasso in Puntland in coordinated suicide attacks.[254]"
220,30 October ,84+,470+,"Assam, India. A series of 13 blasts occurred in and around Guwahati.[255]"
221,30 October ,0,21,"Pamplona, Spain. A car bomb exploded at the University of Navarra.  The explosion occurred at a time when students would have been walking near the lot where the car had been parked. Most of the injuries were a result of flying glass shards, while rainy weather may have prevented more casualties. Authorities blamed ETA, who had yet to claim responsibility.[256]"
222,30 October ,5,21,"Kabul, Afghanistan. A suicide bomber who stormed the Ministry of Information and Culture successfully detonated his explosives on the ground floor. Five of the wounded were described as being in critical condition. The Taliban claimed responsibility through a phone call within minutes of the blast.[257]"
223,31 October ,0,4,"Srinagar, India. Four security personnel were injured when militants hurled a grenade at a police station in the Baramulla district of Jammu and Kashmir. The blast, at about 11:20, landed inside the compound of the Baramulla police station, injuring two CRPF personnel and two policemen in the explosion. No militant outfit had claimed responsibility for the attack so far. This was the first attack on security forces in the Kashmir valley since the announcement of election schedule legislative assembly elections by Election Commission on 19 October.[258]"
224,31 October ,0,17+,"Bastar, Chhattisgarh, India. At least 17 policemen sustained minor injuries when Maoist guerrillas detonated a powerful land mine in front of their vehicle in the southern Bastar region of Chhattisgarh. The incident took place on a highway in Narayanpur district, some 250 km south of the capital Raipur.[259]"
225,31 October ,9,21,"Mardan, NWFP, Pakistan. A senior police official's home was hit by a blast in Mardan. The suicide bomber blew himself up close to a security convoy escorting, Mardan's deputy inspector, Akhtar Ali Shah, near his home just after 13:30. At least three police guards including the driver were killed in the high-security zone, while the other casualties have not yet been identified.[260][261]"
226,1 November ,13+,7,"Swat valley, Pakistan. At least 11 people were killed, allegedly all civilians, and seven others injured in a mortar attack targeting a security check post in the troubled northwestern Swat valley, where troops were conducting operations against the local Taliban. The mortar shell landed near Wanay check post, where a large number of people had gathered before the lifting of curfew restrictions in the morning. It was not immediately clear who had fired the mortar shell though authorities suspected the attack was carried out by militants.[262]"
227,1 November ,2,0,"Mohmand Agency, Pakistan. Two persons, including a child, were killed when a mortar shell struck a house.[262]"
228,2 November ,0,6,"Salboni, West Midnapur district, West Bengal, India. A landmine blast targeted West Bengal Chief Minister Buddhadeb Bhattacharya. Six policemen travelling in the last car of a convoy escorting Indian steel minister, Ram Vilas Paswan, and the CM were wounded. Eight villagers were arrested for possible links with Maoist insurgents who triggered the blast. Seven police officials, including an Additional Superintendent of Police of the Purbo Medinipur district were issued show cause notices and asked to explain their role in the supervision of security along the stretch of road  at Kalaichandi in Paschim Medinipur district after the CM's convoy passed through.[263][264][265][266]  Bhattacharya specifically implicated the Sasadhar Mahato-led Lalgarh squad of the Maoists.[267]"
229,3 November ,9,33,"Baghdad, Iraq. Three bomb attacks – two in Baghdad and one in Baigoba have left 9 people dead and 33 people wounded including a senior oil ministry official who was the intended targets of one of the Baghdad attacks, with one of the bombs going off in a bin.[268]"
230,3 November ,0,8,"Yala, Thailand. A blast went off in a market injuring five soldiers and three civilians in the Muslim-dominated southern region of Thailand.[269]"
231,4 November ,1,71+,"Amphoe Sukhirin, Narathiwat Province, Thailand. Two bombs attached to motorcycles exploded at around 11:15 am in a parking lot near a district office.  Village leaders had gathered there to meet.  A third explosion occurred minutes later at a tea shop.  At least 30 of the injured persons were described as being in serious condition.[270]"
232,4 November ,2,9,"Doaba, North West Frontier Province, Pakistan. A bomber targeted an army check post early on Tuesday, officials said. One report said that the bomber drove up in a car and detonated explosives. No one has claimed responsibility. A police official told the AFP news agency that paramilitary soldiers and policemen had been injured in the blast.[271]"
233,6 November ,11,41,"Vladikavkaz, Russia. A bombing on a microbus has killed 11 people and injured 41 more. The attack occurred in the province of North Ossetia bordering war-scarred Chechnya as well as the disputed territory of South Ossetia.[272]  Investigators stated that a female suicide bomber may have conducted the attack.[273]"
234,6 November ,4,0,"Baghdad, Iraq. Four people died in a morning rush hour double-bomb attack at a checkpoint in a Sunni-dominated area of the city.  At least two of those killed were members of the Awakening Councils.[274]"
235,6 November ,1,4,"Baghdad, Iraq. A roadside bomb explosion near a mosque in Baghdad's central Bab al-Sheikh neighborhood killed one person and injured four others, police said.[274]"
236,6 November ,0,9,"Baghdad, Iraq.  A roadside bomb targeting a government pick-up truck in Sadr City injured nine people, including five city employees.[274]"
237,6 November ,16,31,"Bajaur, Pakistan. A suicide bomber attacked an anti-Taliban jirga of the Salarzai tribe in the Batmali area.  The Tehrik-i-Taliban Pakistan claimed responsibility.[275]"
238,8 November ,0,1,"Langley, British Columbia, Canada. A 39-year-old missionary was injured after a bomb exploded as he took a pink gift box-like package into his home. Neighbours were evacuated afterward, and RCMP police are seeking a motive. Recent bomb incidents have also occurred in the area, some of those explosives having been constructed by teenagers. The source of this explosive is not known at this time.[276][277]"
239,9 November ,28+,68,"Baghdad, Iraq. A suicide bomber struck in a crowd that had gathered where a car bomb had exploded just moments earlier in the Adhamiyah district.[278][279]  The New York Times reports that two car bombs exploded in the initial blast prior to the suicide bombing.[280]"
240,10 November ,2,3,Georgian-South Ossetian border. Two Georgian policemen were killed and three wounded by explosive devices near South Ossetia. The EU Monitoring Mission (EUMM) patrolling the area called the attack an unacceptable breach of the ceasefire that could dangerously escalate tensions in the region. The risk of skirmishes and tit-for-tat attacks remained high with  further violence likely.[281]
241,11 November ,2+,5+,"Peshawar, Pakistan. A suicide bomb exploded outside the Qayyam Stadium after inter-provisional games had concluded.  Police speculated that the attack may have been intended for ANP member, Iftikhar Hussain, who was in the process of leaving at the time.[282]"
242,12 November ,2,0,"Peshawar, Pakistan. Gunmen corner and kill United States Agency for International Development contract employee Stephen D. Vance and his driver around 8:00 am local as they traveled from Vance's residence to work.[283]"
243,12 November ,6,23,"Baghdad, Iraq. A bomb exploded in a parked car in the bustling downtown al-Nasir Square in Baghdad killing four and wounding 15 others, including three police officers. A half-hour later, a roadside bomb blew up in a Shiite-dominated neighborhood in northern Baghdad. Seven people, including three policemen, were injured, though there were no deaths reported. Unidentified gunmen in the volatile northern city of Mosul also killed two sisters from a Christian family as they were waiting in front of their house for a ride to work. Their mother was injured in the attack. This was the third consecutive day of morning rush hour blasts in the capital. The explosions follow two days of rush hour bombings that killed more than 30 people and wounded some 70 others.[284]"
244,12 November ,3,28,"Kandahar, Afghanistan. A car bomb explosion ripped through an Afghan government office during a provincial council meeting in the former Taliban stronghold of Kandahar, killing at least three people and wounding 28. The blast also flattened two nearby homes and damaged the offices of the country's intelligence service, NDS. Ezatullah Khan, a police official, said no suicide attacker was involved in the attack. He said, the blast came as the provincial council was hearing constituent complaints, where two council members were wounded in the attack. Afghan police, soldiers and intelligence agents were also at the site, as were Canadian soldiers.[285]"
245,13 November ,0,15,"Bangkok, Thailand. At least 15 market traders were wounded when a bomb was thrown into a camp in Bangkok where they were staging a protest vigil against attempts to evict them. The explosion took place at 2:00 at Klong Toey market, next to the capital's biggest slum, where about 300 protesters were demonstrating against the new management of the site. The bomb was apparently tossed into the camp by an unidentified man on a nearby footbridge, while two people suffered serious injuries. The attack did not appear to be linked to an anti-government protest movement that had occupied Government House in Bangkok since late August, where there were a series of small bombings in the weeks preceding.[286]"
246,13 November ,1,0,"Peshawar, Pakistan. Gunmen kidnapped an Iranian diplomat, Hashmatullah Atharzadeh, and killed his local guard in the NWFP capital; this follows a recent surge in violence in Peshawar blamed on Islamic militants from the ousted Afghan Taliban regime, while Pakistani troops have increased operations along the country's porous border with Afghanistan. Atharzadeh was on his way to the Iranian consulate in Peshawar when unknown assailants attacked his car. Abdul Qadir, a police officer said: ""The attackers sprayed bullets, forcing the car to stop and then dragged out the diplomat while his police guard was killed."" Iran immediately made it clear that the diplomat's safety was Islamabad's responsibility as it raised the issue with the foreign ministry. Iranian ambassador to Pakistan, Mashallah Shakeri, said: ""Based on the Vienna convention of political immunity of diplomats, the Islamabad government is responsible for the security of Iranian diplomats.""[287]"
247,14 November ,3,4,"Kanker and Bastar, Chhattisgarh, India. Three policemen were injured in a landmine blast triggered by rebels at Injeram in Konta constituency, close to the Andhra Pradesh border; while several low-intensity explosions ripped through Chhattisgarh's Bastar region as the first phase of assembly elections began in 39 constituencies. There was a low electoral turnout following the murder of Trinath Thakur, the Dantewada block unit chief of the Congress, the previous night. Dantewada District Superintendent of Police Rahul Sharma said: ""Rebels slit his throat and he died on the spot due to excessive bleeding."" Soon after voting started, gunbattles erupted between policemen and Maoist guerrillas in about 15 places in the Sukma, Kistaram, Konta, Bhairamgarh, Antagarh, Pakhanjoor, Bijarpur, Dantewada and Antagarh constituencies. Despite the presence of 65,000 policemen, including paramilitary forces, Maoist guerrillas managed to block roads leading to polling booths in over 50 places.[288]In another attack in Bijapur in the same Bastar district a non-commissioned officer of the Indian Air Force was killed, while a Squadron Leader was injured when suspected naxalites fired at their helicopter, airlifting electronic voting machines and polling staff, as soon as it took off from Bijapur in South Bastar. Sergeant Mustafa Ali received a bullet in the head and died on-the-spot while the pilot, Squadron Leader T.K. Chaudhury, also received bullet injuries from light machine gun firing. A volley of bullets also hit the wings, while some hit the passengers inside. The crew then flew to Jagdalpur, district headquarters of Bastar where the casualties count then came to light.Earlier in the day, a Central Reserve Police Force personnel was killed after being hit by a sniper bullet at Antagarh in Kanker district. Elsewhere in Chhattisgarh there were 25 encounters between security service officials and naxalites, all of which were repulsed. Six polling booths were attacked but the security forces beat back the attackers. As many as 21 EVMs were also looted.[289]"
248,14 November ,0,0,"Pristina, Serbia/Kosovo. An explosive charge was thrown at the building housing the office of the European Union's special envoy to Kosovo, Peter Feith. No one was injured in the blast, which shattered the windows of the office of the International Civilian Office. On 20 November, Kosovo police arrested three German citizens suspected of having thrown the explosive charge.[290][291]"
249,16 November ,8,5,"Barentu, Enitrea.  Eritrea blamed the TPLF for a roadside bomb explosion along the road between Barentu and Elala.  The explosion occurred at about 8:30 am as citizens passed en route to an engagement party.[292]"
250,19 November ,0,0,Eritrea The IMC blamed the RIRA for the discovery of a coffee jar bomb near a PSNI station in Belfast.
251,20 November ,1,29,"Bangkok, Thailand. A grenade attack on protesters occupying the prime minister's office killed one person and wounded 29. No one took responsibility for the blast, but the protest group, the People's Alliance for Democracy, blamed the government. The prime minister denied the charge.[293]"
252,21 November ,17+,6,"Mogadishu, Somalia. Somali security forces and Islamic insurgents engaged in one of the fiercest gunbattles in recent weeks in the capital, killing at least 17 people and wounding six. The two-hour clash erupted when insurgents attacked the house of a local government official. One of them, Dahir Mohamed, said he counted 15 bodies of young men on the street after the skirmish was over, though it was not immediately clear if the dead were civilians or insurgents. A Police officer, Abdinur Salad, said that two soldiers were also killed in the clash, while another six soldiers were wounded.[294]"
253,21 November ,5+,15+,"Dera Ismail Khan, Pakistan. Increasing sectarian violence in Pakistan was a result of an explosion that ripped through a funeral procession in northwestern Pakistan that killed at least five people and wounding at least 15 others. The funeral in the northwestern town of Dera Ismail Khan was for a local Shiite figure shot dead the day before in what appeared to be sectarian violence between Sunni and Shiite Muslims. A police official, Khurshid Khan, said that ""A funeral procession of a Shiite victim was on its way to the graveyard when a powerful explosion hit it, resulting in the death of five people and the injury of 15 others.""[295]"
254,22 November ,0,0,"Turk-Iraqi border, Iraq. The PKK claimed responsibility for an explosion at an oil pipeline linking Iraq with southern Turkey. The PKK said the explosion was an act of sabotage, but a spokesman for Iraq's Oil Ministry says the pipeline will be out of action for about a week.[296]"
255,22 November ,0,8,"Bangkok, Thailand. The second grenade attack in three days targeted protesters occupying the Thai prime minister's compound in Bangkok. The blast occurred at 3:00 and injured eight people, one of them seriously. Chamlong Srimuang, one of the key protest leaders, said the grenade was launched from the headquarters of the Bangkok Metropolitan police about 500 feet (150 meters) away.[297]"
